"id","name","description","location","price_per_night","max_guests","bedrooms","image_url","amenities","featured","category","images","main_image_url","is_active","removed_at"
"239","Padmore Residence Apartment","Modern luxury apartment in Westlands with premium finishes, rooftop terrace, and stunning city views. Perfect for business travelers and urban stays.","Kilimani George Padmore Road, Nairobi","8500.00","6","4","https://media.joomeo.com/large/68755e6447f6b.jpg","[""Wi-Fi"",""Gym Access"",""Parking"",""City View"",""Kitchen"",""24/7 Security""]","true","apartments","[""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1502672023488-70e25813eb80?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1564013799919-ab600027ffc6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1560185893-a55cbc8c57e8?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]","https://media.joomeo.com/large/687556b842e5c.jpg","true",
"240","Karen Heights Apartment","Elegant apartment in upscale Karen with garden views, modern furnishings, and access to exclusive amenities.","Karen, Nairobi","12000.00","6","3","https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600","[""Wi-Fi"",""Garden View"",""Balcony"",""Kitchen"",""Security"",""Parking""]","true","apartments","[""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1560185893-a55cbc8c57e8?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]","https://media.joomeo.com/large/68755e6447f6b.jpg","false",
"241","Ocean Paradise Villa","Stunning beachfront villa with infinity pool overlooking the Indian Ocean at Diani Beach. Perfect for families and groups seeking luxury by the sea.","Diani Beach, Kwale","25000.00","8","4","https://images.unsplash.com/photo-1566073771259-6a8506099945?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600","[""Private Beach"",""Infinity Pool"",""Ocean View"",""Wi-Fi"",""AC"",""Private Chef""]","true","villas","[""https://images.unsplash.com/photo-1566073771259-6a8506099945?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1613977257363-707ba9348227?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1613977257592-4871e5fcd7c4?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"242","Kilifi Creek Villa","Elegant villa overlooking Kilifi Creek with traditional Swahili architecture and modern luxury amenities.","Kilifi, Coast Province","18000.00","6","3","https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600","[""Creek View"",""Traditional Design"",""Pool"",""Wi-Fi"",""Spacious Terrace"",""Dhow Trips""]","false","villas","[""https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1613977257363-707ba9348227?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1615571022219-eb45cf7faa9d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"243","Lavington Family House","Spacious family house in quiet Lavington neighborhood, perfect for long-term stays and large families.","Lavington, Nairobi","15000.00","10","5","https://images.unsplash.com/photo-1564013799919-ab600027ffc6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600","[""Large Garden"",""Family Room"",""Wi-Fi"",""Kitchen"",""Parking"",""Security""]","false","houses","[""https://images.unsplash.com/photo-1564013799919-ab600027ffc6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1564013434775-f71db0030976?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1564013442641-f49f7e2f750b?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1564013549179-8a71f5eae137?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"244","Runda Contemporary House","Modern house in prestigious Runda estate with beautiful landscaping and premium finishes.","Runda, Nairobi","20000.00","8","4","https://images.unsplash.com/photo-1505843513577-22bb7d21e455?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600","[""Modern Design"",""Garden"",""Wi-Fi"",""Study Room"",""Parking"",""Gated Community""]","false","houses","[""https://images.unsplash.com/photo-1505843513577-22bb7d21e455?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505843555519-42609742c5d6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505843476565-c1540fb34b5e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505843492508-1d9c22793c1d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"245","Karen Gardens Apartment","Elegant two-bedroom apartment in the prestigious Karen area with lush garden views, modern amenities, and easy access to shopping centers.","Karen, Nairobi","7500.00","4","2","https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=600","[""Wi-Fi"",""Garden View"",""Parking"",""AC"",""Kitchen"",""Shopping Nearby""]","false","apartments","[""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"246","Kilifi Creek Apartment","Contemporary beachside apartment with ocean views and modern design. Perfect for couples and small families seeking coastal luxury.","Kilifi Creek, Kilifi","9500.00","3","1","https://images.unsplash.com/photo-1571896349842-33c89424de2d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=600","[""Wi-Fi"",""Ocean View"",""Beach Access"",""AC"",""Kitchen"",""Balcony""]","false","villas","[""https://images.unsplash.com/photo-1571896349842-33c89424de2d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1580587771525-78b9dba3b914?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1567767292278-a4f21aa2d36e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1560448204-61dc36dc98c8?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
"247","Naivasha Lakeside Retreat","Serene lakeside villa with mountain views at Lake Naivasha. Ideal for relaxation and water activities with boat dock access.","Lake Naivasha, Nakuru","50000.00","8","4","https://media.joomeo.com/large/68761b66ae4ae.jpg","[""Wi-Fi"",""Fishing"",""Game Drives"",""Boat Dock"",""Kitchen"",""Fireplace""]","false","houses","[""https://images.unsplash.com/photo-1505691723518-36a5ac3be353?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505692433770-36f19f51681d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505692952047-1a78307da8f2?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]","https://media.joomeo.com/large/68761be9c6428.jpg","true",
"248","Mount Kenya View Lodge","Rustic mountain lodge with breathtaking views of Mount Kenya. Perfect for adventure seekers and nature lovers.","Nanyuki, Laikipia","18000.00","10","5","https://images.unsplash.com/photo-1578662996442-48f60103fc96?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=600","[""Wi-Fi"",""Fireplace"",""Safari"",""Mountain View"",""Kitchen"",""Hiking""]","false","houses","[""https://images.unsplash.com/photo-1578662996442-48f60103fc96?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1542718610-a1d656d1884c?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600"",""https://images.unsplash.com/photo-1517320964276-a002fa203177?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600""]",,"false",
